industry_id,industry_descr,term,estimate,std.error,conf.low,conf.high,p.value,sector
1,Wheat,afcfta_brdr,-0.2220601913472321,0.02729038930322473,-0.2755483715056297,-0.1685720111888345,4.054019551187332e-16,Agriculture
2,Rice (raw),afcfta_brdr,-0.2556147021422912,0.022006624187493874,-0.2987468929710872,-0.2124825113134952,3.4436431015006104e-31,Agriculture
3,Corn,afcfta_brdr,-0.2575346650229969,0.020908783745411233,-0.2985151281245394,-0.21655420192145436,7.332221847158131e-35,Agriculture
4,Other cereals,afcfta_brdr,-0.27584360706037897,0.021246530490350864,-0.3174860416178988,-0.23420117250285916,1.5278631770967847e-38,Agriculture
6,Soybeans,afcfta_brdr,-0.310073592320429,0.044621172954433026,-0.39752948425905044,-0.22261770038180761,3.6782252931067965e-12,Agriculture
7,Other oilseeds (excluding peanuts),afcfta_brdr,-0.3357272788159246,0.019242529338257416,-0.3734419432903645,-0.29801261434148474,3.6184795773109107e-68,Agriculture
9,Raw and refined sugar and sugar crops,afcfta_brdr,-0.7451248998739438,0.05052430908622624,-0.844150726026717,-0.6460990737211706,3.1762599825661717e-49,Agriculture
10,Other sweeteners,afcfta_brdr,-0.35370833388628886,0.030738896265774772,-0.4139554634917202,-0.29346120428085753,1.2182678698265821e-30,Agriculture
11,"Pulses and legumes, dried, preserved",afcfta_brdr,-0.24804396705921086,0.02102683289383401,-0.28925580224006764,-0.2068321318783541,4.066709571111703e-32,Agriculture
12,Fresh fruit,afcfta_brdr,-0.347038827957157,0.021668783367143795,-0.3895088629455594,-0.3045687929687546,9.942356421034832e-58,Agriculture
13,Fresh vegetables,afcfta_brdr,-0.38701198646914553,0.02094459560624077,-0.4280626395281333,-0.3459613334101578,3.110977628967833e-76,Agriculture
16,Nuts,afcfta_brdr,-0.30888235899233,0.030700324646856115,-0.3690538896138553,-0.2487108283708047,8.19859053100743e-24,Agriculture
19,Eggs,afcfta_brdr,-0.5172064458078153,0.03954469670550058,-0.5947126271301562,-0.43970026448547445,4.33917593441313e-39,Agriculture
20,"Other meats, livestock products, and live animals",afcfta_brdr,-0.15060439252465474,0.03196802258140296,-0.2132605654411677,-0.08794821960814178,2.4638929565138526e-6,Agriculture
21,Cocoa and cocoa products,afcfta_brdr,-0.3884768439941185,0.04153472662552907,-0.46988341228787234,-0.3070702757003647,8.514686658302037e-21,Agriculture
22,"Beverages, nec",afcfta_brdr,-0.12970651009344147,0.044327218648619326,-0.21658626217956758,-0.04282675800731536,0.0034322476594530675,Agriculture
24,Tobacco leaves and cigarettes,afcfta_brdr,-0.24954394863937224,0.020345218917372364,-0.28941984497500506,-0.20966805230373942,1.3878126235453425e-34,Agriculture
25,Spices,afcfta_brdr,-0.2629975698023198,0.019595001012916204,-0.30140306606466144,-0.22459207353997818,4.5144544945781884e-41,Agriculture
26,"Other agricultural products, nec",afcfta_brdr,-0.11749019046034645,0.019344830793396158,-0.1554053621024243,-0.07957501881826859,1.251777726588894e-9,Agriculture
29,Mining of hard coal,afcfta_brdr,0.037227907600067556,0.04846574830073254,-0.05776321355315152,0.13221902875328662,0.4424110296483597,Mining and Energy
30,Mining of lignite,afcfta_brdr,0.4761379622399945,0.08225136602513122,0.3149282471515159,0.6373476773284731,7.088460868649894e-9,Mining and Energy
31,Extraction crude petroleum and natural gas,afcfta_brdr,-0.2612249930734818,0.043128974047365404,-0.34575622889648067,-0.17669375725048292,1.388275857473232e-9,Mining and Energy
32,Mining of iron ores,afcfta_brdr,-0.24398153748210674,0.029383653407017034,-0.3015724398940678,-0.18639063507014572,1.0125156278833438e-16,Mining and Energy
33,Other mining and quarring,afcfta_brdr,-0.30101030830826486,0.022676006911262123,-0.34545446516752,-0.25656615144900974,3.258856706178059e-40,Mining and Energy
34,"Electricity production, collection, and distribution",afcfta_brdr,-0.3447625353365714,0.035341292923101564,-0.4140301966329307,-0.2754948740402121,1.7519846856387926e-22,Mining and Energy
35,Gas production and distribution,afcfta_brdr,-0.7495214388161013,0.20912724107392344,-1.1594032995072168,-0.33963957812498596,3.383137837517407e-4,Mining and Energy
36,Processing/preserving of meat,afcfta_brdr,-0.3457948296509882,0.029238971111391853,-0.4031021599743233,-0.28848749932765305,2.84753981918409e-32,Manufacturing
37,Processing/preserving of fish,afcfta_brdr,-0.2246603705503194,0.018634003403353975,-0.26118234610868996,-0.18813839499194882,1.7929670049310646e-33,Manufacturing
38,Processing/preserving of fruit & vegetables,afcfta_brdr,-0.20468592568127852,0.014540431121604388,-0.23318464699930846,-0.17618720436324858,5.2581409295646906e-45,Manufacturing
39,Vegetable and animal oils and fats,afcfta_brdr,-0.2079729976612607,0.014910653889246513,-0.23719734227012595,-0.17874865305239546,3.237960544328593e-44,Manufacturing
40,Dairy products,afcfta_brdr,-0.27995441317382697,0.023503556280515037,-0.32602053699224665,-0.23388828935540731,1.0353779103719236e-32,Manufacturing
41,Grain mill products,afcfta_brdr,-0.27975323355761794,0.01775721801008883,-0.31455674132301803,-0.24494972579221783,6.412626671249729e-56,Manufacturing
42,Starches and starch products,afcfta_brdr,-0.2155179168949396,0.026171058185208464,-0.26681224837525036,-0.16422358541462884,1.7960046700899852e-16,Manufacturing
43,Prepared animal feeds,afcfta_brdr,-0.32890765550750367,0.024045888855645747,-0.3760367316408224,-0.28177857937418493,1.3679436496933224e-42,Manufacturing
44,Bakery products,afcfta_brdr,-0.3275787365242225,0.01653888876528158,-0.3599943628484885,-0.29516311019995645,2.6126452531129316e-87,Manufacturing
45,Sugar,afcfta_brdr,-0.2126505691725321,0.01801330607467126,-0.24795600032138435,-0.17734513802367988,3.669445559810469e-32,Manufacturing
46,Cocoa chocolate and sugar confectionery,afcfta_brdr,-0.3156917169207103,0.021345487505567428,-0.35752810366407217,-0.2738553301773484,1.7090791995477608e-49,Manufacturing
47,Macaroni noodles & similar products,afcfta_brdr,-0.2403551400522279,0.023572218495242877,-0.2865558393386129,-0.19415444076584293,2.0545567000395304e-24,Manufacturing
48,Other food products n.e.c.,afcfta_brdr,-0.18049820365474994,0.011996777367320015,-0.20401145522524242,-0.15698495208425747,3.692100801900507e-51,Manufacturing
49,Distilling rectifying & blending of spirits,afcfta_brdr,-0.32580999908140895,0.03044921665883281,-0.3854893670901783,-0.2661306310726396,1.0165633443523096e-26,Manufacturing
50,Wines,afcfta_brdr,-0.37878954091005257,0.04105762099595531,-0.4592609993530205,-0.29831808246708463,2.8144294219540166e-20,Manufacturing
51,Malt liquors and malt,afcfta_brdr,-0.3953242020225831,0.024382488139921308,-0.4431130006303039,-0.34753540341486233,4.051845917241643e-59,Manufacturing
52,Soft drinks; mineral waters,afcfta_brdr,-0.36872829087724457,0.020546055591233917,-0.40899781986042083,-0.3284587618940683,5.117871171275843e-72,Manufacturing
53,Tobacco products,afcfta_brdr,-0.24618401391042155,0.02005505767493894,-0.28549120466117545,-0.20687682315966766,1.227714576651712e-34,Manufacturing
54,Textile fibre preparation; textile weaving,afcfta_brdr,-0.13056499391866772,0.017819333384902866,-0.16549024558158953,-0.0956397422557459,2.3509221439231366e-13,Manufacturing
55,Made-up textile articles except apparel,afcfta_brdr,-0.13833898976503,0.027740326397583337,-0.19270903042367907,-0.08396894910638095,6.134715063699988e-7,Manufacturing
56,Carpets and rugs,afcfta_brdr,-0.14450667317837268,0.03217099977163224,-0.20756067407741818,-0.08145267227932719,7.0613663889827966e-6,Manufacturing
57,Cordage rope twine and netting,afcfta_brdr,-0.18147866879529695,0.0167846425254875,-0.21437596363863187,-0.14858137395196203,3.0140242219718384e-27,Manufacturing
58,Other textiles n.e.c.,afcfta_brdr,-0.19404671309954225,0.024152390219267503,-0.241384528069864,-0.1467088981292205,9.414121968947958e-16,Manufacturing
59,Knitted and crocheted fabrics and articles,afcfta_brdr,-0.37617334562738236,0.029644642982346196,-0.43427577820732893,-0.3180709130474358,6.768456940840986e-37,Manufacturing
60,Wearing apparel except fur apparel,afcfta_brdr,-0.2627898959447754,0.02836400366585184,-0.3183823215872071,-0.20719747030234376,1.9524483451928022e-20,Manufacturing
61,Dressing & dyeing of fur; processing of fur,afcfta_brdr,-0.4991472108362167,0.03254813427821123,-0.5629403817854843,-0.4353540398869491,4.417410399624024e-53,Manufacturing
62,Tanning and dressing of leather,afcfta_brdr,-0.19367729794334304,0.029294284575455253,-0.25109304066410254,-0.13626155522258354,3.80608760820002e-11,Manufacturing
63,Luggage handbags etc.; saddlery & harness,afcfta_brdr,-0.4309240209641829,0.029372975120659187,-0.48849399431946594,-0.3733540476088999,9.921979131111221e-49,Manufacturing
64,Footwear,afcfta_brdr,-0.1462110025204627,0.028352699670952067,-0.2017812727400094,-0.09064073230091603,2.511207053817979e-7,Manufacturing
65,Sawmilling and planing of wood,afcfta_brdr,-0.3902255687579612,0.024160466547528334,-0.4375792130408015,-0.34287192447512094,1.1099761575512256e-58,Manufacturing
66,Veneer sheets plywood particle board etc.,afcfta_brdr,-0.20698389220627877,0.031263434818990334,-0.26825909848451535,-0.14570868592804223,3.576512566627221e-11,Manufacturing
